;HommeNA38:TAZ-Agriculture;HommeNA38:TBE-Industrie;HommeNA38:TFZ-Construction;HommeNA38:TGU-Tertiairemarchand;HommeNA38:TOQ-Tertiairenonmarchand;FemmeNA38:TAZ-Agriculture;FemmeNA38:TBE-Industrie;FemmeNA38:TFZ-Construction;FemmeNA38:TGU-Tertiairemarchand;FemmeNA38:TOQ-Tertiairenonmarchand
X2018.p.;169747;2211210;1193522;6394706;2509773;71015;893792;155671;5687458;5322076
X2017.p.;170703;2204374;1169729;6318819;2513085;71329;889813;152478;5645571;5323600
X2016;168535;2206508;1145890;6148705;2514373;70461;889334;149214;5525652;5322281
X2015;170286;2231475;1154724;6005493;2497902;68478;892304;148486;5473726;5304252
X2014;167786;2260578;1189845;5898130;2501780;67407;898648;150687;5431006;5287935
X2013;166126;2288794;1233424;5868953;2496585;67579;904760;153603;5424265;5246511
X2012;162758;2319214;1258488;5831491;2472688;66420;912469;154725;5422272;5176591
X2011;160767;2338293;1275354;5858165;2462844;64835;914465;154363;5470278;5146714
X2010;158130;2350046;1285852;5807682;2470092;63187;919989;153512;5443050;5133759
X2009;161400;2406507;1303719;5685262;2485147;63472;947639;154168;5415160;5118700
X2008;163508;2525502;1342055;5709657;2491252;63271;995203;155598;5448880;5071768
X2007;176284;2580403;1335858;5846089;2515302;60014;1016346;152048;5430316;5015642
X2006;183779;2601665;1279873;5684603;2612713;64689;1038563;148217;5332893;4845007
X2005;188434;2646286;1226631;5613648;2602088;65060;1052946;140577;5209846;4755581
X2004;193877;2704981;1184869;5555877;2599056;66381;1082214;134489;5131316;4685442
X2003;195066;2775205;1163673;5523277;2590638;65847;1103207;130266;5070337;4639146
X2002;192631;2843825;1153734;5550432;2606260;65647;1132116;129341;5024944;4599329
X2001;192354;2901413;1155579;5517777;2594353;67538;1156769;127481;4937538;4480833
X2000;201731;2908990;1133717;5433841;2527166;68924;1157199;121721;4782138;4505140
X1999;210041;2853717;1087814;5202159;2496634;67514;1128979;115913;4564426;4439208
X1998;203375;2839477;1052948;4975781;2449751;81554;1148962;111355;4365064;4349378
X1997;196175;2831904;1044265;4792372;2396876;76340;1149736;111111;4205529;4278403
X1996;186823;2832024;1053264;4641887;2390719;71089;1155422;113110;4081106;4243582
X1995;181633;2870859;1097940;4578969;2390403;67159;1179095;116724;3988892;4213311
X1994;174227;2857218;1114484;4510332;2369515;62871;1187969;115890;3902725;4151953
X1993;171384;2869016;1109035;4382228;2341362;60124;1205077;117225;3814631;4080915
X1992;170286;2997941;1168841;4390865;2317492;58161;1261815;123171;3770077;3989346
X1991;168609;3115275;1224251;4428411;2276582;55568;1314457;129916;3738061;3884818
X1990;162745;3193898;1248431;4435910;2239517;52054;1352454;131055;3680531;3772691
X1989;162436;3197890;1242394;4395270;2215915;50002;1352034;126127;3584227;3713509
