"";"FemmeNA38:TAZ-Agriculture";"FemmeNA38:TBE-Industrie";"FemmeNA38:TFZ-Construction";"FemmeNA38:TGU-Tertiairemarchand";"FemmeNA38:TOQ-Tertiairenonmarchand"
"X2018.p.";71015;893792;155671;5687458;5322076
"X2017.p.";71329;889813;152478;5645571;5323600
"X2016";70461;889334;149214;5525652;5322281
"X2015";68478;892304;148486;5473726;5304252
"X2014";67407;898648;150687;5431006;5287935
"X2013";67579;904760;153603;5424265;5246511
"X2012";66420;912469;154725;5422272;5176591
"X2011";64835;914465;154363;5470278;5146714
"X2010";63187;919989;153512;5443050;5133759
"X2009";63472;947639;154168;5415160;5118700
"X2008";63271;995203;155598;5448880;5071768
"X2007";60014;1016346;152048;5430316;5015642
"X2006";64689;1038563;148217;5332893;4845007
"X2005";65060;1052946;140577;5209846;4755581
"X2004";66381;1082214;134489;5131316;4685442
"X2003";65847;1103207;130266;5070337;4639146
"X2002";65647;1132116;129341;5024944;4599329
"X2001";67538;1156769;127481;4937538;4480833
"X2000";68924;1157199;121721;4782138;4505140
"X1999";67514;1128979;115913;4564426;4439208
"X1998";81554;1148962;111355;4365064;4349378
"X1997";76340;1149736;111111;4205529;4278403
"X1996";71089;1155422;113110;4081106;4243582
"X1995";67159;1179095;116724;3988892;4213311
"X1994";62871;1187969;115890;3902725;4151953
"X1993";60124;1205077;117225;3814631;4080915
"X1992";58161;1261815;123171;3770077;3989346
"X1991";55568;1314457;129916;3738061;3884818
"X1990";52054;1352454;131055;3680531;3772691
"X1989";50002;1352034;126127;3584227;3713509
