"";"hommes";"femmes"
"X2018.p.";12478958;12130012
"X2017.p.";12376710;12082791
"X2016";12184011;11956942
"X2015";12059880;11887246
"X2014";12018119;11835683
"X2013";12053882;11796718
"X2012";12044639;11732477
"X2011";12095423;11750655
"X2010";12071802;11713497
"X2009";12042035;11699139
"X2008";12231974;11734720
"X2007";12453936;11674366
"X2006";12362633;11429369
"X2005";12277087;11224010
"X2004";12238660;11099842
"X2003";12247859;11008803
"X2002";12346882;10951377
"X2001";12361476;10770159
"X2000";12205445;10635122
"X1999";11850365;10316040
"X1998";11521332;10056313
"X1997";11261592;9821119
"X1996";11104717;9664309
"X1995";11119804;9565181
"X1994";11025776;9421408
"X1993";10873025;9277972
"X1992";11045425;9202570
"X1991";11213128;9122820
"X1990";11280501;8988785
"X1989";11213905;8825899
